Frequency_Hz,Power_dB
35018.9208984375,-102.47323170620895
35095.21484375,-114.24830222581632
35171.5087890625,-145.59217691786958
35247.802734375,-145.87154910753765
35324.0966796875,-145.03995687149575
35400.390625,-145.49871394354386
35476.6845703125,-146.15816448366192
35552.978515625,-146.7730662469513
35629.2724609375,-147.23236684058338
35705.56640625,-147.35629379269366
35781.8603515625,-146.33169245242172
35858.154296875,-138.0713687122159
35934.4482421875,-110.45966606926002
36010.7421875,-105.08689416377933
36087.0361328125,-115.0477546904301
36163.330078125,-147.20374338008182
36239.6240234375,-144.48777430790204
36315.91796875,-144.0516358299883
36392.2119140625,-144.138191599613
36468.505859375,-144.29762924225034
36544.7998046875,-144.4419945125674
36621.09375,-144.54482219621352
36697.3876953125,-144.55808114689228
36773.681640625,-144.24277857871007
36849.9755859375,-141.86848173434387
36926.26953125,-110.267210890281
37002.5634765625,-103.1546596053931
37078.857421875,-111.36594897685694
37155.1513671875,-145.16942924667015
37231.4453125,-143.03421656457812
37307.7392578125,-142.71956384196127
37384.033203125,-142.60391036859158
37460.3271484375,-142.50899632074348
37536.62109375,-142.40455650813172
37612.9150390625,-142.29740198244562
37689.208984375,-142.2437233172366
37765.5029296875,-142.52979099142942
37841.796875,-145.5827923078367
37918.0908203125,-113.2883971578652
37994.384765625,-104.37016357538725
38070.6787109375,-110.86859393194216
38146.97265625,-139.68868590591057
38223.2666015625,-143.33902079895972
38299.560546875,-143.70656713484195
38375.8544921875,-143.6531439367635
38452.1484375,-143.54344343629754
38528.4423828125,-143.43902631396557
38604.736328125,-143.32424505969678
38681.0302734375,-143.07412544818027
38757.32421875,-142.12149829325134
38833.6181640625,-137.7465622523803
38909.912109375,-115.61143718582626
38986.2060546875,-105.84964675270463
39062.5,-109.99931137853535
39138.7939453125,-157.71502732596582
39215.087890625,-138.07455876033606
39291.3818359375,-136.9353867559207
39367.67578125,-136.54902695262876
39443.9697265625,-136.24559634007048
39520.263671875,-135.92132761429883
39596.5576171875,-135.5886038647964
39672.8515625,-135.38826494773866
39749.1455078125,-136.04231320719833
39825.439453125,-148.79657738980544
39901.7333984375,-111.84407464461216
39978.02734375,-98.93367180311687
40054.3212890625,-102.17845378310363
40130.615234375,-124.08924588242733
40206.9091796875,-139.800887987635
40283.203125,-144.45751704483368
40359.4970703125,-144.01736813799715
40435.791015625,-142.6222434534152
40512.0849609375,-141.2372782333278
40588.37890625,-140.04580359039676
40664.6728515625,-139.22173238190754
40740.966796875,-139.64901234135567
40817.2607421875,-155.60067594001367
40893.5546875,-115.48238503378306
40969.8486328125,-100.47962534389862
41046.142578125,-102.088354838118
41122.4365234375,-121.4290523762356
41198.73046875,-143.24778578817973
41275.0244140625,-153.73943609530502
41351.318359375,-153.73429798650656
41427.6123046875,-152.16444654461833
41503.90625,-149.4777993841867
41580.2001953125,-147.07726520598075
41656.494140625,-145.38132430514406
41732.7880859375,-145.23059290596143
41809.08203125,-151.87023786665807
41885.3759765625,-121.76008994439016
41961.669921875,-104.38480408910365
42037.9638671875,-104.40493235606546
42114.2578125,-121.22122938551085
42190.5517578125,-146.0596230969203
42266.845703125,-151.61232085717182
42343.1396484375,-151.76288235240793
42419.43359375,-153.63332672089916
42495.7275390625,-154.66574902348984
42572.021484375,-153.52092550419195
42648.3154296875,-151.56423822264986
42724.609375,-150.56979611852768
42800.9033203125,-148.29665396352445
42877.197265625,-126.27643655512074
42953.4912109375,-106.51727709595104
43029.78515625,-104.89442838296604
43106.0791015625,-119.61707267926002
43182.373046875,-147.50594214291428
43258.6669921875,-144.4309030099214
43334.9609375,-143.95235052280506
43411.2548828125,-144.4332182442123
43487.548828125,-145.06611270019732
43563.8427734375,-145.66001037764286
43640.13671875,-146.1064402200672
43716.4306640625,-146.14559851274265
43792.724609375,-144.50471597802974
43869.0185546875,-133.98524140153896
43945.3125,-112.90757212101457
44021.6064453125,-109.49958360622921
44097.900390625,-122.47671941954343
44174.1943359375,-146.15368728032269
44250.48828125,-142.80361748751045
44326.7822265625,-142.50271605210048
44403.076171875,-142.65292794413844
44479.3701171875,-142.88029041350694
44555.6640625,-143.10748508048076
44631.9580078125,-143.2939999286427
44708.251953125,-143.30844200130193
44784.5458984375,-142.44956214352135
44860.83984375,-136.28412575244067
44937.1337890625,-113.52118631036302
45013.427734375,-108.35782474938837
45089.7216796875,-119.52010005255133
45166.015625,-144.0837469398393
45242.3095703125,-140.43245335221536
45318.603515625,-140.0106783444217
45394.8974609375,-139.9532312124723
45471.19140625,-139.95207763830825
45547.4853515625,-139.94845848275017
45623.779296875,-139.9341913946169
45700.0732421875,-139.92552238642233
45776.3671875,-139.99618968368148
45852.6611328125,-139.78269017756162
45928.955078125,-109.66146242209292
46005.2490234375,-103.3778937264894
46081.54296875,-111.87286575065279
46157.8369140625,-139.44475069673803
46234.130859375,-139.74815902926235
46310.4248046875,-139.6655274275848
46386.71875,-139.60946732940977
46463.0126953125,-139.56937769566673
46539.306640625,-139.5310718968272
46615.6005859375,-139.44922601405693
46691.89453125,-139.14259849763087
46768.1884765625,-137.72452480679414
46844.482421875,-130.4647875517186
46920.7763671875,-91.85082269974826
46997.0703125,-83.88562536849206
47073.3642578125,-90.62034879064038
47149.658203125,-139.62799816955314
47225.9521484375,-132.59817378257347
47302.24609375,-131.4310535116218
47378.5400390625,-131.00121462555302
47454.833984375,-130.64193883418886
47531.1279296875,-130.25112219095075
47607.421875,-129.86434387212213
47683.7158203125,-129.71577712035565
47760.009765625,-131.09956490864374
47836.3037109375,-134.4690570460006
47912.59765625,-95.18877813163414
47988.8916015625,-85.24572825752642
48065.185546875,-90.46231379577947
48141.4794921875,-119.97674932761917
48217.7734375,-138.3674400835599
48294.0673828125,-140.1139521193251
48370.361328125,-139.48680130535757
48446.6552734375,-138.71221322267877
48522.94921875,-137.61606539082678
48599.2431640625,-136.46068864574983
48675.537109375,-135.65905704804652
48751.8310546875,-136.69547180256475
48828.125,-137.17887811403483
48904.4189453125,-103.83799243126148
48980.712890625,-91.95753327778681
49057.0068359375,-95.56574259278983
49133.30078125,-120.05845405327236
49209.5947265625,-143.8231699112225
49285.888671875,-144.0257069142265
49362.1826171875,-144.45357699638365
49438.4765625,-145.65982343970734
49514.7705078125,-145.28333313667457
49591.064453125,-143.51502145701988
49667.3583984375,-141.89652059960892
49743.65234375,-142.49110633354516
